date,weather_code,temperature_2m_mean,apparent_temperature_mean,daylight_duration,sunshine_duration,precipitation_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,weekend,ridership,holidayName,is_holiday,apparent_temp_range,temp_2m_range,weather_categories_Clear or Fair Weather,weather_categories_Precipitation (Light to Moderate),weather_categories_Severe Weather
2021-05-17,2.0,61.965496,59.330765,52304.66,48824.312,0.0,0.0,0.0,11.805341,219.91373,25.93,0.0,2029893,No holiday,0.0,27.06217699999999,24.029999999999994,1,0,0
2021-05-18,3.0,66.92675,64.101105,52414.355,48361.41,0.0,0.0,0.0,9.223387,254.71307,24.97,0.0,2160226,No holiday,0.0,28.330824,27.71999999999999,1,0,0
2021-05-19,3.0,69.38299,67.23869,52521.727,49024.887,0.0,0.0,0.0,11.858211,350.79745,28.52,0.0,2267376,No holiday,0.0,28.296270000000007,28.08,1,0,0
2021-05-20,3.0,61.635498,58.842113,52626.652,49004.203,0.0,0.0,0.0,12.545163,145.46165,28.03,0.0,2278700,No holiday,0.0,15.383074,16.740000000000002,1,0,0
2021-05-21,3.0,63.81425,61.70125,52728.977,49215.938,0.0,0.0,0.0,12.211643,173.92244,28.03,0.0,2338148,No holiday,0.0,22.319097,20.339998,1,0,0
2021-05-22,3.0,75.473,74.70912,52828.582,39466.508,0.0,0.0,0.0,13.290868,303.76266,19.17,1.0,1640871,No holiday,0.0,25.310813000000003,25.289993000000003,1,0,0
2021-05-23,3.0,76.9655,75.876915,52925.324,48382.543,0.0,0.0,0.0,17.445732,324.94263,22.18,1.0,1265366,No holiday,0.0,24.796156999999994,22.680000000000007,1,0,0
2021-05-24,3.0,60.49175,55.002045,53019.06,34990.055,0.0,0.0,0.0,14.128563,131.9266,18.87,0.0,2126565,No holiday,0.0,7.334876000000001,7.649999999999999,1,0,0
2021-05-25,3.0,63.69424,60.740025,53109.652,37928.957,0.0,0.0,0.0,16.151386,181.288,24.3,0.0,2280222,No holiday,0.0,16.734076,15.21,1,0,0
2021-05-26,61.0,73.639244,74.76816,53196.96,49203.695,0.098425195,0.0,3.0,15.732329,211.1836,23.46,0.0,2285370,No holiday,0.0,26.558823999999994,21.330002999999998,0,1,0
2021-05-27,61.0,72.6155,70.87188,53280.84,49674.46,0.07480315,0.0,2.0,13.320954,320.3835,29.17,0.0,2362138,No holiday,0.0,19.327693000000004,18.54000299999999,0,1,0
2021-05-28,63.0,58.18925,52.100925,53361.414,27330.465,1.1771655,0.0,9.0,18.057455,62.573017,14.37,0.0,2240660,No holiday,0.0,17.786302999999997,15.57,0,1,0
2021-05-29,63.0,49.504246,41.135136,53439.34,0.0,0.93700784,0.0,22.0,20.164045,38.45372,5.8,1.0,1368533,No holiday,0.0,5.744750000000003,4.770000000000003,0,1,0
2021-05-30,61.0,49.770504,42.995968,53514.586,0.0,0.5551181,0.0,24.0,18.836018,21.182346,4.99,1.0,1065232,No holiday,0.0,6.459885,5.669999999999995,0,1,0
2021-05-31,51.0,57.32301,53.385685,53587.074,27127.094,0.027559055,0.0,4.0,13.302158,315.71097,15.75,0.0,1395486,No holiday,0.0,24.726291000000003,19.979999999999997,0,1,0
2021-06-01,3.0,62.512997,61.07184,53656.73,36003.41,0.0,0.0,0.0,11.463397,219.54529,20.57,0.0,2270076,No holiday,0.0,27.008385000000004,25.64999999999999,1,0,0
2021-06-02,3.0,62.92925,62.17258,53723.473,30540.275,0.0,0.0,0.0,10.551908,173.67113,19.27,0.0,2354755,No holiday,0.0,19.922697,16.379999999999995,1,0,0
2021-06-03,63.0,64.223,66.049706,53787.23,16002.415,0.5826771,0.0,12.0,8.084209,165.9367,12.83,0.0,2244535,No holiday,0.0,21.260995,16.740000000000002,0,1,0
2021-06-04,61.0,69.323006,72.03711,53847.926,18534.352,0.16141732,0.0,10.0,10.6086645,236.56671,15.14,0.0,2316851,No holiday,0.0,16.731935000000007,13.950003000000002,0,1,0
2021-06-05,2.0,75.664246,77.72812,53905.48,50040.39,0.0,0.0,0.0,13.24372,247.96507,27.31,1.0,1785164,No holiday,0.0,27.328308000000007,25.91998999999999,1,0,0
2021-06-06,1.0,78.23675,81.72558,53959.82,50076.32,0.0,0.0,0.0,10.108666,215.8202,25.9,1.0,1358931,No holiday,0.0,25.164144000000007,20.25,1,0,0
2021-06-07,51.0,77.49049,82.97918,54010.87,43441.805,0.011811024,0.0,3.0,10.551908,203.60893,22.08,0.0,2230964,No holiday,0.0,19.700874999999996,17.099994999999993,0,1,0
2021-06-08,61.0,77.13051,84.41453,54058.562,32316.9,0.22834647,0.0,8.0,10.116089,216.8087,19.21,0.0,2276249,No holiday,0.0,17.034239999999997,15.030005000000003,0,1,0
2021-06-09,53.0,78.06051,85.0009,54102.816,48523.07,0.055118106,0.0,5.0,7.4663534,290.29596,24.02,0.0,2396123,No holiday,0.0,19.469890000000007,16.289999999999992,0,1,0
2021-06-10,51.0,71.869255,71.86867,54143.56,50206.48,0.007874016,0.0,2.0,14.731966,84.53859,25.5,0.0,2482678,No holiday,0.0,21.380857000000006,17.91000199999999,0,1,0
2021-06-11,51.0,63.791744,62.609814,54180.72,19689.38,0.027559055,0.0,3.0,9.261288,94.93045,11.65,0.0,2474058,No holiday,0.0,10.709258999999996,9.720002000000001,0,1,0
2021-06-12,51.0,65.130486,65.27112,54214.23,27307.883,0.007874016,0.0,1.0,9.440564,113.585045,15.16,1.0,1767456,No holiday,0.0,9.229394000000006,9.629989999999992,0,1,0
2021-06-13,51.0,65.7455,65.76386,54244.02,39589.363,0.003937008,0.0,1.0,11.887713,182.13177,19.1,1.0,1374857,No holiday,0.0,18.298209999999997,15.929999999999993,0,1,0
2021-06-14,63.0,66.289246,66.86994,54270.02,35165.547,0.7007873,0.0,11.0,13.898234,152.43683,16.67,0.0,2231093,No holiday,0.0,5.545320000000004,6.660002999999996,0,1,0
2021-06-15,53.0,69.619255,70.52528,54292.168,46732.14,0.023622047,0.0,2.0,11.106429,299.64743,24.79,0.0,2478320,No holiday,0.0,17.992725999999998,14.580003999999995,0,1,0
2021-06-16,2.0,66.88925,64.03069,54310.395,50351.492,0.0,0.0,0.0,12.717497,319.35385,29.83,0.0,2527109,No holiday,0.0,13.674964999999993,14.399995000000004,1,0,0
2021-06-17,3.0,65.32551,62.989025,54324.69,50369.14,0.0,0.0,0.0,8.420753,313.3635,30.29,0.0,2559895,No holiday,0.0,22.035562000000006,20.96999999999999,1,0,0
2021-06-18,3.0,69.83299,68.12447,54335.16,39829.086,0.0,0.0,0.0,12.752862,210.56076,27.51,0.0,2572657,No holiday,0.0,26.605066000000008,25.470000000000006,1,0,0
2021-06-19,53.0,75.413,76.87697,54341.836,35257.49,0.07874015,0.0,6.0,14.239696,243.40346,21.46,1.0,1775547,Juneteenth,1.0,26.077244000000007,23.040000000000006,0,1,0
2021-06-20,51.0,73.583,76.83941,54344.742,50400.0,0.011811024,0.0,3.0,13.408945,205.13522,24.05,1.0,1383305,No holiday,0.0,22.06111399999999,21.50999999999999,0,1,0
