date,ridership
2021-06-01,2270076
2021-06-02,2354755
2021-06-03,2244535
2021-06-04,2316851
2021-06-05,1785164
2021-06-06,1358931
2021-06-07,2230964
2021-06-08,2276249
2021-06-09,2396123
2021-06-10,2482678
2021-06-11,2474058
2021-06-12,1767456
2021-06-13,1374857
2021-06-14,2231093
2021-06-15,2478320
2021-06-16,2527109
2021-06-17,2559895
2021-06-18,2572657
2021-06-19,1775547
2021-06-20,1383305
2021-06-21,2272339
2021-06-22,2364933
2021-06-23,2556545
2021-06-24,2561618
2021-06-25,2586717
2021-06-26,1844289
2021-06-27,1551427
2021-06-28,2259622
2021-06-29,2353330
2021-06-30,2355961
2021-07-01,2303115
2021-07-02,2304436
2021-07-03,1537160
2021-07-04,1462008
2021-07-05,1501862
2021-07-06,2312217
2021-07-07,2446272
2021-07-08,2374164
2021-07-09,2324903
2021-07-10,1773183
2021-07-11,1359939
2021-07-12,2252712
2021-07-13,2463622
2021-07-14,2525259
2021-07-15,2587594
2021-07-16,2539883
2021-07-17,1709115
2021-07-18,1398455
2021-07-19,2333470
2021-07-20,2468688
2021-07-21,2511085
2021-07-22,2588545
2021-07-23,2555736
2021-07-24,1842644
2021-07-25,1359018
2021-07-26,2324274
2021-07-27,2495580
2021-07-28,2542027
2021-07-29,2437563
2021-07-30,2562140
2021-07-31,1832180
2021-08-01,1346083
2021-08-02,2340633
2021-08-03,2492425
2021-08-04,2536925
2021-08-05,2536575
2021-08-06,2523378
2021-08-07,1771014
2021-08-08,1328887
2021-08-09,2295799
2021-08-10,2450053
2021-08-11,2483087
2021-08-12,2455790
2021-08-13,2434510
2021-08-14,1709769
2021-08-15,1423856
2021-08-16,2293362
2021-08-17,2434548
2021-08-18,2453589
2021-08-19,2447093
2021-08-20,2460175
2021-08-21,1707241
2021-08-22,748331
2021-08-23,2059713
2021-08-24,2468850
2021-08-25,2504168
2021-08-26,2486345
2021-08-27,2392245
2021-08-28,1652867
2021-08-29,1392327
2021-08-30,2325858
2021-08-31,2538734
2021-09-01,2304116
2021-09-02,1668429
2021-09-03,2393426
2021-09-04,1767746
2021-09-05,1407692
2021-09-06,1523848
2021-09-07,2406319
2021-09-08,2536291
2021-09-09,2706871
2021-09-10,2902653
2021-09-11,1971758
2021-09-12,1580075
2021-09-13,2852954
2021-09-14,3012874
2021-09-15,2990419
2021-09-16,2541321
2021-09-17,3027459
2021-09-18,2002184
2021-09-19,1586635
2021-09-20,2884374
2021-09-21,3021008
2021-09-22,3024000
2021-09-23,3018405
2021-09-24,3119549
2021-09-25,2114862
2021-09-26,1604342
2021-09-27,2874501
2021-09-28,2931889
2021-09-29,3066718
2021-09-30,3148827
2021-10-01,3161417
2021-10-02,2054871
2021-10-03,1570290
2021-10-04,2874095
2021-10-05,3102386
2021-10-06,3153175
2021-10-07,3202036
2021-10-08,3175833
2021-10-09,2043689
2021-10-10,1494247
2021-10-11,2276219
2021-10-12,3113971
2021-10-13,3169049
2021-10-14,3251428
2021-10-15,3233748
2021-10-16,2033138
2021-10-17,1623123
2021-10-18,2993039
2021-10-19,3190313
2021-10-20,3246108
2021-10-21,3278407
2021-10-22,3234281
2021-10-23,2068422
2021-10-24,1593209
2021-10-25,3004769
2021-10-26,2715826
2021-10-27,3312009
2021-10-28,3378257
2021-10-29,3259259
2021-10-30,2035441
2021-10-31,1738400
2021-11-01,3043060
2021-11-02,2863617
2021-11-03,3308656
2021-11-04,3297899
2021-11-05,3303843
2021-11-06,2186464
2021-11-07,1880892
2021-11-08,3076998
2021-11-09,3292915
2021-11-10,3362356
2021-11-11,2927072
2021-11-12,3167561
2021-11-13,2160784
2021-11-14,1695934
2021-11-15,3121870
2021-11-16,3352695
2021-11-17,3381602
2021-11-18,3425208
2021-11-19,3348280
2021-11-20,2126139
2021-11-21,1666640
2021-11-22,3130091
2021-11-23,3285613
2021-11-24,3086632
2021-11-25,1359309
2021-11-26,2087866
2021-11-27,1872226
2021-11-28,1460668
2021-11-29,2996848
2021-11-30,3208841
2021-12-01,3328389
2021-12-02,3359566
2021-12-03,3372085
2021-12-04,2304634
2021-12-05,1728448
2021-12-06,3135429
2021-12-07,3369572
2021-12-08,3382269
2021-12-09,3435471
2021-12-10,3416701
2021-12-11,2253570
2021-12-12,1819672
2021-12-13,3123807
2021-12-14,3278476
2021-12-15,3246725
2021-12-16,3223954
2021-12-17,3114674
2021-12-18,1873397
2021-12-19,1573469
2021-12-20,2719510
2021-12-21,2702503
2021-12-22,2640370
2021-12-23,2490928
2021-12-24,1578238
2021-12-25,811798
2021-12-26,1280209
2021-12-27,2011290
2021-12-28,2172386
2021-12-29,2170881
2021-12-30,2200578
2021-12-31,1628961
2022-01-01,1025843
2022-01-02,1214989
2022-01-03,2171114
2022-01-04,2293597
2022-01-05,2272835
2022-01-06,2396301
2022-01-07,2129481
2022-01-08,1482768
2022-01-09,1102350
2022-01-10,2351919
2022-01-11,2273582
2022-01-12,2465229
2022-01-13,2529783
2022-01-14,2526410
2022-01-15,1432271
2022-01-16,1165138
2022-01-17,1605369
2022-01-18,2549625
2022-01-19,2650811
2022-01-20,2554042
2022-01-21,2571091
2022-01-22,1581371
2022-01-23,1245146
2022-01-24,2541423
2022-01-25,2709989
2022-01-26,2718664
2022-01-27,2731395
2022-01-28,2709206
2022-01-29,1003958
2022-01-30,1261853
2022-01-31,2580650
2022-02-01,2644618
2022-02-02,2950117
2022-02-03,2920242
2022-02-04,2730398
2022-02-05,1787490
2022-02-06,1322567
2022-02-07,2787655
2022-02-08,3022494
2022-02-09,3093968
2022-02-10,3117591
2022-02-11,3017511
2022-02-12,2019078
2022-02-13,1348243
2022-02-14,2910970
2022-02-15,3037191
2022-02-16,3108301
2022-02-17,3116836
2022-02-18,2971110
2022-02-19,1790461
2022-02-20,1475763
2022-02-21,1950633
2022-02-22,2688622
2022-02-23,2707518
2022-02-24,2875798
2022-02-25,2591493
2022-02-26,1822660
2022-02-27,1403278
2022-02-28,2931716
2022-03-01,3155873
2022-03-02,3226926
2022-03-03,3225391
2022-03-04,3093488
2022-03-05,1954782
2022-03-06,1447991
2022-03-07,2997720
2022-03-08,3266806
2022-03-09,3130950
2022-03-10,3355384
2022-03-11,3210807
2022-03-12,1663328
2022-03-13,1478205
2022-03-14,3024094
2022-03-15,3293848
2022-03-16,3350001
2022-03-17,3193614
2022-03-18,3289120
2022-03-19,1998260
2022-03-20,1654242
2022-03-21,3050262
2022-03-22,3294049
2022-03-23,3293170
2022-03-24,3233537
2022-03-25,3238314
2022-03-26,2020997
2022-03-27,1532636
2022-03-28,3008957
2022-03-29,3311845
2022-03-30,3360149
2022-03-31,3347987
2022-04-01,3260108
2022-04-02,2126713
2022-04-03,1465662
2022-04-04,3149577
2022-04-05,3380276
2022-04-06,3334509
2022-04-07,3329631
2022-04-08,3368725
2022-04-09,2187830
2022-04-10,1705609
2022-04-11,3226113
2022-04-12,3103824
2022-04-13,3246114
2022-04-14,3320927
2022-04-15,2783098
2022-04-16,1985502
2022-04-17,1512222
2022-04-18,2697482
2022-04-19,2985522
2022-04-20,3120825
2022-04-21,3055987
2022-04-22,3001103
2022-04-23,2103744
2022-04-24,1653436
2022-04-25,3042411
2022-04-26,3299373
2022-04-27,3449608
2022-04-28,3421374
2022-04-29,3272470
2022-04-30,2103375
2022-05-01,1681325
2022-05-02,2749625
2022-05-03,3421580
2022-05-04,3383028
2022-05-05,3519377
2022-05-06,3206426
2022-05-07,1840754
2022-05-08,1580072
2022-05-09,3130181
2022-05-10,3429847
2022-05-11,3457808
2022-05-12,3447699
2022-05-13,3266900
2022-05-14,2143462
2022-05-15,1756181
2022-05-16,3094471
2022-05-17,3551756
2022-05-18,3621108
2022-05-19,3488919
2022-05-20,3339201
2022-05-21,2358431
2022-05-22,1756846
2022-05-23,3127922
2022-05-24,3396455
2022-05-25,3444312
2022-05-26,3359070
2022-05-27,3046842
2022-05-28,1869868
2022-05-29,1746753
2022-05-30,1705002
2022-05-31,3195407
2022-06-01,3402044
2022-06-02,3372087
2022-06-03,3301150
2022-06-04,2173474
2022-06-05,1718391
2022-06-06,3109894
2022-06-07,3412681
2022-06-08,3512720
2022-06-09,3317136
2022-06-10,3394020
2022-06-11,2226511
2022-06-12,1669735
2022-06-13,3185392
2022-06-14,3512909
2022-06-15,3545324
2022-06-16,3428484
2022-06-17,3263952
2022-06-18,2181363
2022-06-19,1718030
2022-06-20,2474051
2022-06-21,3359078
2022-06-22,3376880
2022-06-23,3426489
2022-06-24,3312576
2022-06-25,2280769
2022-06-26,2002551
2022-06-27,2953290
2022-06-28,3269604
2022-06-29,3269362
2022-06-30,3171305
2022-07-01,2845514
2022-07-02,1845274
2022-07-03,1647807
2022-07-04,1618808
2022-07-05,2823038
2022-07-06,3087482
2022-07-07,3136154
2022-07-08,2920977
2022-07-09,2057224
2022-07-10,1674668
2022-07-11,2895835
2022-07-12,3174223
2022-07-13,3261722
2022-07-14,3237623
2022-07-15,3037382
2022-07-16,2086729
2022-07-17,1666044
2022-07-18,2736634
2022-07-19,3186435
2022-07-20,3208076
2022-07-21,3125942
2022-07-22,2958371
2022-07-23,2023824
2022-07-24,1589864
2022-07-25,2745099
2022-07-26,3192722
2022-07-27,3249960
2022-07-28,3169131
2022-07-29,2947508
2022-07-30,2068990
2022-07-31,1642102
2022-08-01,2773922
2022-08-02,3129686
2022-08-03,3202662
2022-08-04,3136384
2022-08-05,2862834
2022-08-06,2044404
2022-08-07,1573552
2022-08-08,2794846
2022-08-09,3031683
2022-08-10,3152615
2022-08-11,3111039
2022-08-12,2978968
2022-08-13,2082577
2022-08-14,1670137
2022-08-15,2785273
2022-08-16,3065095
2022-08-17,3093509
2022-08-18,3096614
2022-08-19,2934202
2022-08-20,2032700
2022-08-21,1612108
2022-08-22,2640436
2022-08-23,3010202
2022-08-24,2999699
2022-08-25,3107279
2022-08-26,2877889
2022-08-27,2060009
2022-08-28,1643866
2022-08-29,2851896
2022-08-30,3109449
2022-08-31,3161645
2022-09-01,3133970
2022-09-02,2939950
2022-09-03,2110597
2022-09-04,1791692
2022-09-05,1701617
2022-09-06,3080367
2022-09-07,3460997
2022-09-08,3658469
2022-09-09,3494407
2022-09-10,2346912
2022-09-11,1728832
2022-09-12,3395807
2022-09-13,3633150
2022-09-14,3757991
2022-09-15,3764015
2022-09-16,3516437
2022-09-17,2343088
2022-09-18,1835499
2022-09-19,3383549
2022-09-20,3781886
2022-09-21,3893856
2022-09-22,3747923
2022-09-23,3644475
2022-09-24,2384973
2022-09-25,1753875
2022-09-26,2829789
2022-09-27,3222914
2022-09-28,3733272
2022-09-29,3728472
2022-09-30,3521906
2022-10-01,2033564
2022-10-02,1621937
2022-10-03,3388817
2022-10-04,3419472
2022-10-05,3101395
2022-10-06,3869541
2022-10-07,3609541
2022-10-08,2393348
2022-10-09,1914735
2022-10-10,2578165
2022-10-11,3671420
2022-10-12,3797914
2022-10-13,3704479
2022-10-14,3598674
2022-10-15,2359536
2022-10-16,1771603
2022-10-17,3334090
2022-10-18,3715564
2022-10-19,3838158
2022-10-20,3831188
2022-10-21,3590676
2022-10-22,2425854
2022-10-23,1739184
2022-10-24,3375416
2022-10-25,3733475
2022-10-26,3815734
2022-10-27,3913833
2022-10-28,3642946
2022-10-29,2437163
2022-10-30,1873259
2022-10-31,3428686
2022-11-01,3729272
2022-11-02,3810965
2022-11-03,3823539
2022-11-04,3605248
2022-11-05,2446817
2022-11-06,2111949
2022-11-07,3475726
2022-11-08,3452695
2022-11-09,3793943
2022-11-10,3822676
2022-11-11,3008719
2022-11-12,2430176
2022-11-13,1793945
2022-11-14,3419690
2022-11-15,3735593
2022-11-16,3772898
2022-11-17,3818895
2022-11-18,3558646
2022-11-19,2321483
2022-11-20,1721398
2022-11-21,3381146
2022-11-22,3569236
2022-11-23,3286065
2022-11-24,1466222
2022-11-25,2184329
2022-11-26,2000452
2022-11-27,1477930
2022-11-28,3284317
2022-11-29,3618226
2022-11-30,3588358
2022-12-01,3791230
2022-12-02,3619916
2022-12-03,2289906
2022-12-04,1986976
2022-12-05,3500533
2022-12-06,3773761
2022-12-07,3855916
2022-12-08,3951241
2022-12-09,3727495
2022-12-10,2656582
2022-12-11,1862616
2022-12-12,3485630
2022-12-13,3782690
2022-12-14,3797188
2022-12-15,3745887
2022-12-16,3431087
2022-12-17,2597993
2022-12-18,1964631
2022-12-19,3400992
2022-12-20,3611195
2022-12-21,3586943
2022-12-22,3210390
2022-12-23,2759107
2022-12-24,1413843
2022-12-25,1009614
2022-12-26,1823854
2022-12-27,2750379
2022-12-28,2967072
2022-12-29,3058448
2022-12-30,3080122
2022-12-31,1928765
