date,hour,ridership
2020-07-01,0,6232
2020-07-01,1,27
2020-07-01,2,28
2020-07-01,3,3
2020-07-01,4,6312
2020-07-01,5,47747
2020-07-01,6,78186
2020-07-01,7,89206
2020-07-01,8,81535
2020-07-01,9,57531
2020-07-01,10,48412
2020-07-01,11,46019
2020-07-01,12,51160
2020-07-01,13,57199
2020-07-01,14,67202
2020-07-01,15,88370
2020-07-01,16,100030
2020-07-01,17,93717
2020-07-01,18,62803
2020-07-01,19,43808
2020-07-01,20,31994
2020-07-01,21,25221
2020-07-01,22,22236
2020-07-01,23,17479
2020-07-02,0,6152
2020-07-02,1,27
2020-07-02,2,25
2020-07-02,3,16
2020-07-02,4,6242
2020-07-02,5,46854
2020-07-02,6,76945
2020-07-02,7,87557
2020-07-02,8,79818
2020-07-02,9,57439
2020-07-02,10,50126
2020-07-02,11,48889
2020-07-02,12,55002
2020-07-02,13,65104
2020-07-02,14,76324
2020-07-02,15,95871
2020-07-02,16,101157
2020-07-02,17,92581
2020-07-02,18,67746
2020-07-02,19,48481
2020-07-02,20,36053
2020-07-02,21,28418
2020-07-02,22,24686
2020-07-02,23,19377
2020-07-03,0,7368
2020-07-03,1,16
2020-07-03,2,8
2020-07-03,3,2
2020-07-03,4,3521
2020-07-03,5,24239
2020-07-03,6,43828
2020-07-03,7,52969
2020-07-03,8,52878
2020-07-03,9,44952
2020-07-03,10,43346
2020-07-03,11,44180
2020-07-03,12,49713
2020-07-03,13,56743
2020-07-03,14,63019
2020-07-03,15,66011
2020-07-03,16,65086
2020-07-03,17,56736
2020-07-03,18,46453
2020-07-03,19,39573
2020-07-03,20,29899
2020-07-03,21,21804
2020-07-03,22,19441
2020-07-03,23,15354
2020-07-04,0,6159
2020-07-04,1,9
2020-07-04,2,1
2020-07-04,3,8
2020-07-04,4,1802
2020-07-04,5,11414
2020-07-04,6,20402
2020-07-04,7,25523
2020-07-04,8,25939
2020-07-04,9,25628
2020-07-04,10,28203
2020-07-04,11,30584
2020-07-04,12,34617
2020-07-04,13,41413
2020-07-04,14,44702
2020-07-04,15,45739
2020-07-04,16,42991
2020-07-04,17,37989
2020-07-04,18,36695
2020-07-04,19,30941
2020-07-04,20,26766
2020-07-04,21,23794
2020-07-04,22,25507
2020-07-04,23,20621
2020-07-05,0,9172
2020-07-05,1,2
2020-07-05,2,7
2020-07-05,3,8
2020-07-05,4,1744
2020-07-05,5,10283
2020-07-05,6,17350
2020-07-05,7,21598
2020-07-05,8,23110
2020-07-05,9,23214
2020-07-05,10,26886
2020-07-05,11,28205
2020-07-05,12,31387
2020-07-05,13,37191
2020-07-05,14,40396
2020-07-05,15,40382
2020-07-05,16,38237
2020-07-05,17,35525
2020-07-05,18,34076
2020-07-05,19,29081
2020-07-05,20,25040
2020-07-05,21,23208
2020-07-05,22,19668
2020-07-05,23,14098
2020-07-06,0,5230
2020-07-06,1,11
2020-07-06,2,10
2020-07-06,3,14
2020-07-06,4,5901
2020-07-06,5,44801
2020-07-06,6,74868
2020-07-06,7,86015
2020-07-06,8,80183
2020-07-06,9,56993
2020-07-06,10,47350
2020-07-06,11,45295
2020-07-06,12,49289
2020-07-06,13,57847
2020-07-06,14,68060
2020-07-06,15,94604
2020-07-06,16,100361
2020-07-06,17,89036
2020-07-06,18,56644
2020-07-06,19,37698
2020-07-06,20,28509
2020-07-06,21,22570
2020-07-06,22,19749
2020-07-06,23,15393
2020-07-07,0,5286
2020-07-07,1,15
2020-07-07,2,20
2020-07-07,3,33
2020-07-07,4,6240
2020-07-07,5,46780
2020-07-07,6,78427
2020-07-07,7,92129
2020-07-07,8,83877
2020-07-07,9,59942
2020-07-07,10,48785
2020-07-07,11,46485
2020-07-07,12,50359
2020-07-07,13,59932
2020-07-07,14,71881
2020-07-07,15,94246
2020-07-07,16,105205
2020-07-07,17,98224
2020-07-07,18,67506
2020-07-07,19,46283
2020-07-07,20,33015
2020-07-07,21,25682
2020-07-07,22,22322
2020-07-07,23,17319
2020-07-08,0,6047
2020-07-08,1,9
2020-07-08,2,7
2020-07-08,3,22
2020-07-08,4,6248
2020-07-08,5,47273
2020-07-08,6,78839
2020-07-08,7,92853
2020-07-08,8,85321
2020-07-08,9,61289
2020-07-08,10,49522
2020-07-08,11,47274
2020-07-08,12,51729
2020-07-08,13,60679
2020-07-08,14,73383
2020-07-08,15,95671
2020-07-08,16,108671
2020-07-08,17,98838
2020-07-08,18,65381
2020-07-08,19,45259
2020-07-08,20,32974
2020-07-08,21,25915
2020-07-08,22,23092
2020-07-08,23,17925
2020-07-09,0,6117
2020-07-09,1,8
2020-07-09,2,12
2020-07-09,3,6
2020-07-09,4,6367
2020-07-09,5,47781
2020-07-09,6,79551
2020-07-09,7,92742
2020-07-09,8,85359
2020-07-09,9,62110
2020-07-09,10,50060
2020-07-09,11,46471
2020-07-09,12,52910
2020-07-09,13,62743
2020-07-09,14,74737
2020-07-09,15,96856
2020-07-09,16,108483
2020-07-09,17,102151
2020-07-09,18,73734
2020-07-09,19,51639
2020-07-09,20,38033
2020-07-09,21,29306
2020-07-09,22,25270
2020-07-09,23,19924
2020-07-10,0,7183
2020-07-10,1,23
2020-07-10,2,25
2020-07-10,3,14
2020-07-10,4,5978
2020-07-10,5,44128
2020-07-10,6,72765
2020-07-10,7,85637
2020-07-10,8,79564
2020-07-10,9,57710
2020-07-10,10,48923
2020-07-10,11,45243
2020-07-10,12,49013
2020-07-10,13,57046
2020-07-10,14,66175
2020-07-10,15,81001
2020-07-10,16,82791
2020-07-10,17,73530
2020-07-10,18,54757
2020-07-10,19,39027
2020-07-10,20,27406
2020-07-10,21,20444
2020-07-10,22,18672
2020-07-10,23,14807
2020-07-11,0,5527
2020-07-11,1,4
2020-07-11,2,5
2020-07-11,3,2
2020-07-11,4,2318
2020-07-11,5,15129
2020-07-11,6,27749
2020-07-11,7,35454
2020-07-11,8,37394
2020-07-11,9,36351
2020-07-11,10,37718
2020-07-11,11,38677
2020-07-11,12,42120
2020-07-11,13,48424
2020-07-11,14,49510
2020-07-11,15,51865
2020-07-11,16,49760
2020-07-11,17,43980
2020-07-11,18,42886
2020-07-11,19,35927
2020-07-11,20,27641
2020-07-11,21,22085
2020-07-11,22,19848
2020-07-11,23,16904
2020-07-12,0,7487
2020-07-12,1,4
2020-07-12,2,4
2020-07-12,3,7
2020-07-12,4,1679
2020-07-12,5,10504
2020-07-12,6,18724
2020-07-12,7,24005
2020-07-12,8,26423
2020-07-12,9,28859
2020-07-12,10,32825
2020-07-12,11,35202
2020-07-12,12,38615
2020-07-12,13,44426
2020-07-12,14,47800
2020-07-12,15,48383
2020-07-12,16,45303
2020-07-12,17,42174
2020-07-12,18,39967
2020-07-12,19,35070
2020-07-12,20,29917
2020-07-12,21,27468
2020-07-12,22,22329
2020-07-12,23,15144
2020-07-13,0,5679
2020-07-13,1,16
2020-07-13,2,21
2020-07-13,3,6
2020-07-13,4,6174
2020-07-13,5,46087
2020-07-13,6,78483
2020-07-13,7,91747
2020-07-13,8,85157
2020-07-13,9,60143
2020-07-13,10,48860
2020-07-13,11,47566
2020-07-13,12,51531
2020-07-13,13,60915
2020-07-13,14,72928
2020-07-13,15,94746
2020-07-13,16,105886
2020-07-13,17,100776
2020-07-13,18,70625
2020-07-13,19,48083
2020-07-13,20,34286
2020-07-13,21,26177
2020-07-13,22,22402
2020-07-13,23,17299
2020-07-14,0,6209
2020-07-14,1,13
2020-07-14,2,4
2020-07-14,3,13
2020-07-14,4,6389
2020-07-14,5,48264
2020-07-14,6,81574
2020-07-14,7,96678
2020-07-14,8,89447
2020-07-14,9,63006
2020-07-14,10,52017
2020-07-14,11,50128
2020-07-14,12,55035
2020-07-14,13,64397
2020-07-14,14,76473
2020-07-14,15,99381
2020-07-14,16,111663
2020-07-14,17,105923
2020-07-14,18,74649
2020-07-14,19,51223
2020-07-14,20,37596
2020-07-14,21,28580
2020-07-14,22,24052
2020-07-14,23,18982
2020-07-15,0,6776
2020-07-15,1,18
2020-07-15,2,9
2020-07-15,3,23
2020-07-15,4,6496
2020-07-15,5,48614
2020-07-15,6,81946
2020-07-15,7,96531
2020-07-15,8,89583
2020-07-15,9,63387
2020-07-15,10,52616
2020-07-15,11,50445
2020-07-15,12,54892
2020-07-15,13,64524
2020-07-15,14,76585
2020-07-15,15,99649
2020-07-15,16,111757
2020-07-15,17,105886
2020-07-15,18,75079
2020-07-15,19,52274
2020-07-15,20,38061
2020-07-15,21,29056
2020-07-15,22,25065
2020-07-15,23,19637
2020-07-16,0,6782
2020-07-16,1,11
2020-07-16,2,5
2020-07-16,3,3
2020-07-16,4,6572
2020-07-16,5,48538
2020-07-16,6,81455
2020-07-16,7,95183
2020-07-16,8,88749
2020-07-16,9,63263
2020-07-16,10,52103
2020-07-16,11,49777
2020-07-16,12,53950
2020-07-16,13,63784
2020-07-16,14,76926
2020-07-16,15,100186
2020-07-16,16,111779
2020-07-16,17,106582
2020-07-16,18,75716
2020-07-16,19,54088
2020-07-16,20,38850
2020-07-16,21,29420
2020-07-16,22,25225
2020-07-16,23,20316
2020-07-17,0,7175
2020-07-17,1,28
2020-07-17,2,12
2020-07-17,3,12
2020-07-17,4,5717
2020-07-17,5,46090
2020-07-17,6,76554
2020-07-17,7,88866
2020-07-17,8,83435
2020-07-17,9,59541
2020-07-17,10,50130
2020-07-17,11,48230
2020-07-17,12,54324
2020-07-17,13,66041
2020-07-17,14,78617
2020-07-17,15,100057
2020-07-17,16,105637
2020-07-17,17,95881
2020-07-17,18,71384
2020-07-17,19,52516
2020-07-17,20,38914
2020-07-17,21,29938
2020-07-17,22,25821
2020-07-17,23,21639
2020-07-18,0,9193
2020-07-18,1,4
2020-07-18,2,58
2020-07-18,3,53
2020-07-18,4,2375
2020-07-18,5,15712
2020-07-18,6,28903
2020-07-18,7,37104
2020-07-18,8,38985
2020-07-18,9,39042
2020-07-18,10,40162
2020-07-18,11,41837
2020-07-18,12,45658
2020-07-18,13,51804
2020-07-18,14,56904
2020-07-18,15,58954
2020-07-18,16,56357
2020-07-18,17,50888
2020-07-18,18,46697
2020-07-18,19,41305
2020-07-18,20,34868
2020-07-18,21,28294
2020-07-18,22,24654
2020-07-18,23,20667
2020-07-19,0,8861
2020-07-19,1,19
2020-07-19,2,5
2020-07-19,3,6
2020-07-19,4,1726
2020-07-19,5,10348
2020-07-19,6,18878
2020-07-19,7,24367
2020-07-19,8,26639
2020-07-19,9,28346
2020-07-19,10,30638
2020-07-19,11,32465
2020-07-19,12,35065
2020-07-19,13,39996
2020-07-19,14,43054
2020-07-19,15,42929
2020-07-19,16,41475
2020-07-19,17,38669
2020-07-19,18,36572
2020-07-19,19,32467
2020-07-19,20,27391
2020-07-19,21,23852
2020-07-19,22,21142
2020-07-19,23,15057
2020-07-20,0,5310
2020-07-20,1,30
2020-07-20,2,12
2020-07-20,3,21
2020-07-20,4,6382
2020-07-20,5,45875
2020-07-20,6,78641
2020-07-20,7,92105
2020-07-20,8,86955
2020-07-20,9,60901
2020-07-20,10,48914
2020-07-20,11,46652
2020-07-20,12,50505
2020-07-20,13,59236
2020-07-20,14,70010
2020-07-20,15,92318
2020-07-20,16,101587
2020-07-20,17,97524
2020-07-20,18,68324
2020-07-20,19,46404
2020-07-20,20,33904
2020-07-20,21,25987
2020-07-20,22,22413
2020-07-20,23,17501
2020-07-21,0,5586
2020-07-21,1,56
2020-07-21,2,16
2020-07-21,3,3
2020-07-21,4,6550
2020-07-21,5,48243
2020-07-21,6,82147
2020-07-21,7,97261
2020-07-21,8,91069
2020-07-21,9,64268
2020-07-21,10,52374
2020-07-21,11,49414
2020-07-21,12,53978
2020-07-21,13,63457
2020-07-21,14,75641
2020-07-21,15,98397
2020-07-21,16,111269
2020-07-21,17,106344
2020-07-21,18,74628
2020-07-21,19,52038
2020-07-21,20,36886
2020-07-21,21,28740
2020-07-21,22,24957
2020-07-21,23,19205
2020-07-22,0,6708
2020-07-22,1,12
2020-07-22,2,16
2020-07-22,3,23
2020-07-22,4,6378
2020-07-22,5,48436
2020-07-22,6,82532
